coursecode,stage0min,stage0max,stage1min,stage1max,stage2min,stage2max,stage3min,stage3max,stage4min,stage4max,stage5min,stage5max
G400,0,0,100,120,100,120,100,120,0,0,0,0
G402,0,0,0,0,0,0,0,0,120,120,60,60
G403,0,0,0,0,0,0,0,0,120,120,60,60
G4G7,0,0,100,120,100,120,100,120,0,0,0,0
G4H6,0,0,100,120,100,120,100,120,0,0,0,0
G507,0,0,0,0,0,0,0,0,120,120,60,60
G565,0,0,0,0,0,0,0,0,120,120,60,60
G601,0,0,0,0,0,0,0,0,0,0,0,0
G900,0,0,0,0,0,0,0,0,0,0,0,0
GG14,0,0,30,30,60,60,60,60,60,60,0,0
GG41,0,0,30,30,60,60,60,60,0,0,0,0
GH57,0,0,0,0,0,0,0,0,60,60,60,60
GN42,0,0,60,60,60,60,60,60,0,0,0,0
GNK1,0,0,80,80,80,80,80,80,0,0,0,0
