groupcode,grouptitle,modulecodes,notes
CN,Computational Science,G53BIO G54CMF G54QMF,
OR,Operations Research,G53ASD G53DSM G53ORO G54DSM G54HSM G54AOR,ACM CN subsection
M,Mathematics,G51MCS G52MC2,ACM Discrete Structures+
PF,Fundamentals of Programming,G50ALG G51APS G52ADS G52AFP G52CMP G52DOA G52MAL G53CFR G53COM G53GEM G53PAL G53POP G54AOR G54CFR G54FOP G54PAL G64ADS,ACM Programing Fundamentals (PF)/Algorithms and Complexity (AL)
PL,Programming Languages,G50PRO G51FUN G51PRG G52CFJ G52OBJ G64HLL G64ICP G64OOS,
SE,Software Engineering,G51ISE G51ISS G52GRP G52LSS G53FSP G53QAT G64SPM G64SWE,
IM,Information Management,G51DBS G64DBS,
NC,Net-Centric Computing,G50WEB G51WPS G52CAS G52CCN G52IWS G53ACC G53ELC G53SEC G64INC,
DB,Digital Business,G53DBC G53DDB,Local
HC,Human-Computer Interaction,G52DOC G52GUI G52HCI G53MIA G54GAM G54UBI G64IHF G64PMM G64UID,
GV,Graphics and Vision,G52IVG G53AGR G53VIS G54VAG,
OSA,Operating Systems and Architecture,G51CSA G51UST G52CON G53OPS G53SRP G64UET,ACM Operating Systems (OS)/Architecture and Organization (AR)
IS,Intelligent Systems,G51IAI G51IRB G52AIM G52AIP G52ARB G52HPA G52NEC G53DIA G53KRR G53NSC G54NSC G64FAI,
SP,Social and Professional Issues,G51HOC G51SCI G51TUT G52TUT G64MIT,
P,Projects (capstone),G53IDA G53IDE G53IDJ G53IDR G53IDS G53IDY G54AIT G54PRO G54URP G64IDS G64PIT G64PMI G64PRE,Local
